Title,Abstract,Journal
Epigenetics and gene expression profile in first-episode psychosis: The role of childhood trauma.,"Childhood Trauma (CT) mediation of the epigenome and its impact on gene expression profile could provide a mechanism for the gene-environment interaction underling psychosis. We reviewed the evidence concerning epigenetic and gene expression modifications associated with CT in both First-Episode Psychosis (FEP) and healthy subjects. In order to explore the relative role of psychosis itself in determining these modifications, evidence about FEP and epigenetics/gene expression was also summarized. We performed a systematic search on PubMed, last updated in December 2016. Out of 2966 potentially relevant records, only 41 studies were included. CT resulted associated: in FEP subjects, with global DNA hypo-methylation and reduced BDNF gene-expression; in healthy subjects, with hyper-methylation of SLC6A4, NR3C1, KITLG, and OXTR; hypo-methylation of FKBP5, IL-6, and BDNF; increased IL1B, IL8, and PTGS gene expression; and decreased SLC6A4 gene expression. FEP showed global DNA hypo-methylation; increased methylation and reduced gene expression of GCH1; hyper-expression of MPB, NDEL1, AKT1, and DICER1; and hypo-expression of DROSHA, COMT, and DISC1 in comparison with healthy controls.",Neuroscience and biobehavioral reviews
Establishment of intestinal organoid cultures modeling injury-associated epithelial regeneration.,"The capacity of 3D organoids to mimic physiological tissue organization and functionality has provided an invaluable tool to model development and disease in vitro. However, conventional organoid cultures primarily represent the homeostasis of self-organizing stem cells and their derivatives. Here, we established a novel intestinal organoid culture system composed of 8 components, mainly including VPA, EPZ6438, LDN193189, and R-Spondin 1 conditioned medium, which mimics the gut epithelium regeneration that produces hyperplastic crypts following injury; therefore, these organoids were designated hyperplastic intestinal organoids (Hyper-organoids). Single-cell RNA sequencing identified different regenerative stem cell populations in our Hyper-organoids that shared molecular features with in vivo injury-responsive Lgr5<sup>+</sup> stem cells or Clu<sup>+</sup> revival stem cells. Further analysis revealed that VPA and EPZ6438 were indispensable for epigenome reprogramming and regeneration in Hyper-organoids, which functioned through epigenetically regulating YAP signaling. Furthermore, VPA and EPZ6438 synergistically promoted regenerative response in gut upon damage in vivo. In summary, our results demonstrated a new in vitro organoid model to study epithelial regeneration, highlighting the importance of epigenetic reprogramming that pioneers tissue repair.",Cell research
Inhibition of ferroptosis promotes retina ganglion cell survival in experimental optic neuropathies.,"Retinal ganglion cell (RGC) death is a hallmark of traumatic optic neuropathy, glaucoma, and other optic neuropathies that result in irreversible vision loss. However, therapeutic strategies for rescuing RGC loss still remain challenging, and the molecular mechanism underlying RGC loss has not been fully elucidated. Here, we highlight the role of ferroptosis, a non-apoptotic form of programmed cell death characterized by iron-dependent lethal lipid peroxides accumulation, in RGC death using an experimental model of glaucoma and optic nerve crush (ONC). ONC treatment resulted in significant downregulation of glutathione peroxidase 4 (GPx4) and system xc(-) cystine/glutamate antiporter (xCT) in the rat retina, accompanied by increased lipid peroxide and iron levels. The reduction of GPx4 expression in RGCs after ONC was confirmed by laser-capture microdissection and PCR. Transmission electron microscopy (TEM) revealed alterations in mitochondrial morphology, including increased membrane density and reduced mitochondrial cristae in RGCs after ONC. Notably, the ferroptosis inhibitor ferrostatin-1 (Fer-1) significantly promoted RGC survival and preserved retinal function in ONC and microbead-induced glaucoma mouse models. In addition, compared to the apoptosis inhibitor Z-VAD-FMK, Fer-1 showed better effect in rescuing RGCs death in ONC retinas. Mechanistically, we found the downregulation of GPx4 mainly occurred in the mitochondrial compartment, accompanied by increased mitochondrial reactive oxygen species (ROS) and lipid peroxides. The mitochondria-selective antioxidant MitoTEMPO attenuated RGC loss after ONC, implicating mitochondrial ROS and lipid peroxides as major mechanisms in ferroptosis-induced RGC death in ONC retinas. Notably, administering Fer-1 effectively prevented the production of mitochondrial lipid peroxides, the impairment of mitochondrial adenosine 5'-triphosphate (ATP) production, and the downregulation of mitochondrial genes, such as mt-Cytb and MT-ATP6, in ONC retinas. Our findings suggest that ferroptosis is a major form of regulated cell death for RGCs in experimental glaucoma and ONC models and suggesting targeting mitochondria-dependent ferroptosis as a protective strategy for RGC injuries in optic neuropathies.",Redox biology
Biological underpinnings of trauma and post-traumatic stress disorder: focusing on genetics and epigenetics.,"Certain individuals are more susceptible to stress and trauma, as well as the physical and mental health consequences following such exposure, including risk for post-traumatic stress disorder (PTSD). This differing vulnerability is likely to be influenced by genetic predisposition and specific characteristics of the stress itself (nature, intensity and duration), as well as epigenetic mechanisms. In this review we provide an overview of research findings in this field. We highlight some of the key genetic risk factors identified for PTSD, and the evidence that epigenetic processes might play a role in the biological response to trauma, as well as being potential biomarkers of PTSD risk. We also discuss important considerations for future research in this area.",Epigenomics
Exosomes-Loaded Electroconductive Hydrogel Synergistically Promotes Tissue Repair after Spinal Cord Injury via Immunoregulation and Enhancement of Myelinated Axon Growth.,"Electroconductive hydrogels are very attractive candidates for accelerated spinal cord injury (SCI) repair because they match the electrical and mechanical properties of neural tissue. However, electroconductive hydrogel implantation can potentially aggravate inflammation, and hinder its repair efficacy. Bone marrow stem cell-derived exosomes (BMSC-exosomes) have shown immunomodulatory and tissue regeneration effects, therefore, neural tissue-like electroconductive hydrogels loaded with BMSC-exosomes are developed for the synergistic treatment of SCI. These exosomes-loaded electroconductive hydrogels modulate microglial M2 polarization via the NF-κB pathway, and synergistically enhance neuronal and oligodendrocyte differentiation of neural stem cells (NSCs) while inhibiting astrocyte differentiation, and also increase axon outgrowth via the PTEN/PI3K/AKT/mTOR pathway. Furthermore, exosomes combined electroconductive hydrogels significantly decrease the number of CD68-positive microglia, enhance local NSCs recruitment, and promote neuronal and axonal regeneration, resulting in significant functional recovery at the early stage in an SCI mouse model. Hence, the findings of this study demonstrate that the combination of electroconductive hydrogels and BMSC-exosomes is a promising therapeutic strategy for SCI repair.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
Epigenomic Dysregulation in Schizophrenia: In Search of Disease Etiology and Biomarkers.,"Schizophrenia is a severe psychiatric disorder with a complex array of signs and symptoms that causes very significant disability in young people. While schizophrenia has a strong genetic component, with heritability around 80%, there is also a very significant range of environmental exposures and stressors that have been implicated in disease development and neuropathology, such as maternal immune infection, obstetric complications, childhood trauma and cannabis exposure. It is postulated that epigenetic factors, as well as regulatory non-coding RNAs, mediate the effects of these environmental stressors. In this review, we explore the most well-known epigenetic marks, including DNA methylation and histone modification, along with emerging RNA mediators of epigenomic state, including miRNAs and lncRNAs, and discuss their collective potential for involvement in the pathophysiology of schizophrenia implicated through the postmortem analysis of brain tissue. Given that peripheral tissues, such as blood, saliva, and olfactory epithelium have the same genetic composition and are exposed to many of the same environmental exposures, we also examine some studies supporting the application of peripheral tissues for epigenomic biomarker discovery in schizophrenia. Finally, we provide some perspective on how these biomarkers may be utilized to capture a signature of past events that informs future treatment.",Cells
Mechanisms of exercise as a preventative measure to muscle wasting.,"Skeletal muscle is the most abundant tissue in healthy individuals and it has important roles in health beyond voluntary movement. The overall mass and energy requirements of skeletal muscle require it to be metabolically active and flexible to multiple energy substrates. The tissue has evolved to be largely load dependent and it readily adapts in a number of positive ways to repetitive overload, such as various forms of exercise training. However, unloading from extended bed rest and/or metabolic derangements in response to trauma, acute illness, or severe pathology, commonly results in rapid muscle wasting. Decline in muscle mass contributes to multimorbidity, reduces function, and exerts a substantial, negative impact on the quality of life. The principal mechanisms controlling muscle mass have been well described and these cellular processes are intricately regulated by exercise. Accordingly, exercise has shown great promise and efficacy in preventing or slowing muscle wasting through changes in molecular physiology, organelle function, cell signaling pathways, and epigenetic regulation. In this review, we focus on the role of exercise in altering the molecular landscape of skeletal muscle in a manner that improves or maintains its health and function in the presence of unloading or disease.epigenetics; exercise; muscle wasting; resistance training; skeletal muscle.",American journal of physiology. Cell physiology
"Critical Windows: Exploring the Association Between Perinatal Trauma, Epigenetics, and Chronic Pain.","Chronic pain is highly prevalent and burdensome, affecting millions of people worldwide. Although it emerges at any point in life, it often manifests in adolescence. Given that adolescence is a unique developmental period, additional strains associated with persistent and often idiopathic pain lead to significant long-term consequences. While there is no singular cause for the chronification of pain, epigenetic modifications that lead to neural reorganization may underpin central sensitization and subsequent manifestation of pain hypersensitivity. Epigenetic processes are particularly active during the prenatal and early postnatal years. We demonstrate how exposure to various traumas, such as intimate partner violence while in utero or adverse childhood experiences, can significantly influence epigenetic regulation within the brain and in turn modify pain-related processes. We provide compelling evidence that the burden of chronic pain is likely initiated early in life, often being transmitted from mother to offspring. We also highlight two promising prophylactic strategies, oxytocin administration and probiotic use, that have the potential to attenuate the epigenetic consequences of early adversity. Overall, we advance understanding of the causal relationship between trauma and adolescent chronic pain by highlighting epigenetic mechanisms that underlie this transmission of risk, ultimately informing how to prevent this rising epidemic.","The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry"
A road map for understanding molecular and genetic determinants of osteoporosis.,"Osteoporosis is a highly prevalent disorder characterized by low bone mineral density and an increased risk of fracture, termed osteoporotic fracture. Notably, bone mineral density, osteoporosis and osteoporotic fracture are highly heritable; however, determining the genetic architecture, and especially the underlying genomic and molecular mechanisms, of osteoporosis in vivo in humans is still challenging. In addition to susceptibility loci identified in genome-wide association studies, advances in various omics technologies, including genomics, transcriptomics, epigenomics, proteomics and metabolomics, have all been applied to dissect the pathogenesis of osteoporosis. However, each technology individually cannot capture the entire view of the disease pathology and thus fails to comprehensively identify the underlying pathological molecular mechanisms, especially the regulatory and signalling mechanisms. A change to the status quo calls for integrative multi-omics and inter-omics analyses with approaches in 'systems genetics and genomics'. In this Review, we highlight findings from genome-wide association studies and studies using various omics technologies individually to identify mechanisms of osteoporosis. Furthermore, we summarize current studies of data integration to understand, diagnose and inform the treatment of osteoporosis. The integration of multiple technologies will provide a road map to illuminate the complex pathogenesis of osteoporosis, especially from molecular functional aspects, in vivo in humans.",Nature reviews. Endocrinology
Valproic Acid and Epilepsy: From Molecular Mechanisms to Clinical Evidences.,"After more than a century from its discovery, valproic acid (VPA) still represents one of the most efficient antiepileptic drugs (AEDs). Pre and post-synaptic effects of VPA depend on a very broad spectrum of actions, including the regulation of ionic currents and the facilitation of GABAergic over glutamatergic transmission. As a result, VPA indirectly modulates neurotransmitter release and strengthens the threshold for seizure activity. However, even though participating to the anticonvulsant action, such mechanisms seem to have minor impact on epileptogenesis. Nonetheless, VPA has been reported to exert anti-epileptogenic effects. Epigenetic mechanisms, including histone deacetylases (HDACs), BDNF and GDNF modulation are pivotal to orientate neurons toward a neuroprotective status and promote dendritic spines organization. From such broad spectrum of actions comes constantly enlarging indications for VPA. It represents a drug of choice in child and adult with epilepsy, with either general or focal seizures, and is a consistent and safe IV option in generalized convulsive status epilepticus. Moreover, since VPA modulates DNA transcription through HDACs, recent evidences point to its use as an anti-nociceptive in migraine prophylaxis, and, even more interestingly, as a positive modulator of chemotherapy in cancer treatment. Furthermore, VPA-induced neuroprotection is under investigation for benefit in stroke and traumatic brain injury. Hence, VPA has still got its place in epilepsy, and yet deserves attention for its use far beyond neurological diseases. In this review, we aim to highlight, with a translational intent, the molecular basis and the clinical indications of VPA.",Current neuropharmacology
Epigenetics in radiation-induced fibrosis.,"Radiotherapy is a major cancer treatment option but dose-limiting side effects such as late-onset fibrosis in the irradiated tissue severely impair quality of life in cancer survivors. Efforts to explain radiation-induced fibrosis, for example, by genetic variation remained largely inconclusive. Recently published molecular analyses on radiation response and fibrogenesis showed a prominent role of epigenetic gene regulation. This review summarizes the current knowledge on epigenetic modifications in fibrotic disease and radiation response, and it points out the important role for epigenetic mechanisms such as DNA methylation, microRNAs and histone modifications in the development of this disease. The synopsis illustrates the complexity of radiation-induced fibrosis and reveals the need for investigations to further unravel its molecular mechanisms. Importantly, epigenetic changes are long-term determinants of gene expression and can therefore support those mechanisms that induce and perpetuate fibrogenesis even in the absence of the initial damaging stimulus. Future work must comprise the interconnection of acute radiation response and long-lasting epigenetic effects in order to assess their role in late-onset radiation fibrosis. An improved understanding of the underlying biology is fundamental to better comprehend the origin of this disease and to improve both preventive and therapeutic strategies.",Oncogene
Major trauma and acceleration of the ageing process.,"It is well established that numerous factors can affect the rate at which we age biologically. Diet, physical activity, lifestyle and our genes all play a major role in influencing the ageing trajectory and longevity. Major trauma affects millions globally, is the major cause of death in young adults and could influence ageing processes but has largely been ignored by biogenterologists. The long-term health consequences of physical trauma are well known in the medical community, how trauma effects the ageing process at a molecular level is not. It has long been difficult to assess ageing trajectories due to the absence of a biomarker of biological rather than chronological age. Recent advances in epigenetics have helped by identifying specific DNA methylation sites as good indicators of biological age. Recent investigations into the impact of psychological trauma and the associated physical stress on accelerating ageing as measured by epigenetic drift are promising. The physical and metabolic stress which is synonymous with physical trauma may also accelerate the ageing process. We suggest that long term epigenetic profiling is required to understand to what degree the ageing trajectory is altered by trauma, which will in turn add support for the development of novel therapies to improve health outcomes for survivors of traumatic injury.",Ageing research reviews
A nerve injury-specific long noncoding RNA promotes neuropathic pain by increasing Ccl2 expression.,"Maladaptive changes of nerve injury-associated genes in dorsal root ganglia (DRGs) are critical for neuropathic pain genesis. Emerging evidence supports the role of long noncoding RNAs (lncRNAs) in regulating gene transcription. Here we identified a conserved lncRNA, named nerve injury-specific lncRNA (NIS-lncRNA) for its upregulation in injured DRGs exclusively in response to nerve injury. This upregulation was triggered by nerve injury-induced increase in DRG ELF1, a transcription factor that bound to the NIS-lncRNA promoter. Blocking this upregulation attenuated nerve injury-induced CCL2 increase in injured DRGs and nociceptive hypersensitivity during the development and maintenance periods of neuropathic pain. Mimicking NIS-lncRNA upregulation elevated CCL2 expression, increased CCL2-mediated excitability in DRG neurons, and produced neuropathic pain symptoms. Mechanistically, NIS-lncRNA recruited more binding of the RNA-interacting protein FUS to the Ccl2 promoter and augmented Ccl2 transcription in injured DRGs. Thus, NIS-lncRNA participates in neuropathic pain likely by promoting FUS-triggered DRG Ccl2 expression and may be a potential target in neuropathic pain management.",The Journal of clinical investigation
Molecular Mechanisms of Neuroprotection by Ketone Bodies and Ketogenic Diet in Cerebral Ischemia and Neurodegenerative Diseases.,"Ketone bodies (KBs), such as acetoacetate and β-hydroxybutyrate, serve as crucial alternative energy sources during glucose deficiency. KBs, generated through ketogenesis in the liver, are metabolized into acetyl-CoA in extrahepatic tissues, entering the tricarboxylic acid cycle and electron transport chain for ATP production. Reduced glucose metabolism and mitochondrial dysfunction correlate with increased neuronal death and brain damage during cerebral ischemia and neurodegeneration. Both KBs and the ketogenic diet (KD) demonstrate neuroprotective effects by orchestrating various cellular processes through metabolic and signaling functions. They enhance mitochondrial function, mitigate oxidative stress and apoptosis, and regulate epigenetic and post-translational modifications of histones and non-histone proteins. Additionally, KBs and KD contribute to reducing neuroinflammation and modulating autophagy, neurotransmission systems, and gut microbiome. This review aims to explore the current understanding of the molecular mechanisms underpinning the neuroprotective effects of KBs and KD against brain damage in cerebral ischemia and neurodegenerative diseases, including Alzheimer's disease and Parkinson's disease.",International journal of molecular sciences
Borderline personality - from psychoanalysis to epigenetics. Biological basis of attachment.,"In terms of object relations theory, borderline personality disorder (BPD) is characterized by a structural abnormality of identity, conflicting representations of self and others, and disorganization of attachment - a construct rooted in an individual's early experiences and central to the relationships established later in life. A special role in the formation of attachment style is attributed to the relationship with the caregiver and to difficult experiences or traumas from early developmental stages. These experiences not only provide the psychological basis for the development of an insecure attachment style, but also leave a biological mark in the body in the form of epigenetic modifications. Although research on epigenetic modifications in BPD is scarce, a growing body of evidence supports the importance of oxytocin - the ""social peptide"" underlying attachment - in the etiology of BPD. We believe that the study of epigenetic modifications that affect the action of oxytocin in the BPD clinical population will provide a better understanding of the basis and process of development of the disorder, as well as provide a therapeutic direction to work effectively in the major areas of BPD.",Psychiatria polska
Recent Genetics and Epigenetics Approaches to PTSD.,"Following a life-threatening traumatic exposure, about 10% of those exposed are at considerable risk for developing posttraumatic stress disorder (PTSD), a severe and disabling syndrome characterized by uncontrollable intrusive memories, nightmares, avoidance behaviors, and hyperarousal in addition to impaired cognition and negative emotion symptoms. This review will explore recent genetic and epigenetic approaches to PTSD that explain some of the differential risk following trauma exposure.",Current psychiatry reports
Single-cell and spatial atlases of spinal cord injury in the Tabulae Paralytica.,"Here, we introduce the Tabulae Paralytica-a compilation of four atlases of spinal cord injury (SCI) comprising a single-nucleus transcriptome atlas of half a million cells, a multiome atlas pairing transcriptomic and epigenomic measurements within the same nuclei, and two spatial transcriptomic atlases of the injured spinal cord spanning four spatial and temporal dimensions. We integrated these atlases into a common framework to dissect the molecular logic that governs the responses to injury within the spinal cord<sup>1</sup>. The Tabulae Paralytica uncovered new biological principles that dictate the consequences of SCI, including conserved and divergent neuronal responses to injury; the priming of specific neuronal subpopulations to upregulate circuit-reorganizing programs after injury; an inverse relationship between neuronal stress responses and the activation of circuit reorganization programs; the necessity of re-establishing a tripartite neuroprotective barrier between immune-privileged and extra-neural environments after SCI and a failure to form this barrier in old mice. We leveraged the Tabulae Paralytica to develop a rejuvenative gene therapy that re-established this tripartite barrier, and restored the natural recovery of walking after paralysis in old mice. The Tabulae Paralytica provides a window into the pathobiology of SCI, while establishing a framework for integrating multimodal, genome-scale measurements in four dimensions to study biology and medicine.",Nature
Spinal cord repair is modulated by the neurogenic factor Hb-egf under direction of a regeneration-associated enhancer.,"Unlike adult mammals, zebrafish regenerate spinal cord tissue and recover locomotor ability after a paralyzing injury. Here, we find that ependymal cells in zebrafish spinal cords produce the neurogenic factor Hb-egfa upon transection injury. Animals with hb-egfa mutations display defective swim capacity, axon crossing, and tissue bridging after spinal cord transection, associated with disrupted indicators of neuron production. Local recombinant human HB-EGF delivery alters ependymal cell cycling and tissue bridging, enhancing functional regeneration. Epigenetic profiling reveals a tissue regeneration enhancer element (TREE) linked to hb-egfa that directs gene expression in spinal cord injuries. Systemically delivered recombinant AAVs containing this zebrafish TREE target gene expression to crush injuries of neonatal, but not adult, murine spinal cords. Moreover, enhancer-based HB-EGF delivery by AAV administration improves axon densities after crush injury in neonatal cords. Our results identify Hb-egf as a neurogenic factor necessary for innate spinal cord regeneration and suggest strategies to improve spinal cord repair in mammals.",Nature communications
A phase 2 study of thalidomide for the treatment of radiation-induced blood-brain barrier injury.,"Radiation-induced brain injury (RIBI) is a debilitating sequela after radiotherapy to treat head and neck cancer, and 20 to 30% of patients with RIBI fail to respond to or have contraindications to the first-line treatments of bevacizumab and corticosteroids. Here, we reported a Simon's minmax two-stage, single-arm, phase 2 clinical trial (NCT03208413) to assess the efficacy of thalidomide in patients with RIBI who were unresponsive to or had contraindications to bevacizumab and corticosteroid therapies. The trial met its primary endpoint, with 27 of 58 patients enrolled showing ≥25% reduction in the volume of cerebral edema on fluid-attenuated inversion recovery-magnetic resonance imaging (FLAIR-MRI) after treatment (overall response rate, 46.6%; 95% CI, 33.3 to 60.1%). Twenty-five (43.1%) patients demonstrated a clinical improvement based on the Late Effects Normal Tissues-Subjective, Objective, Management, Analytic (LENT/SOMA) scale, and 36 (62.1%) experienced cognitive improvement based on the Montreal Cognitive Assessment (MoCA) scores. In a mouse model of RIBI, thalidomide restored the blood-brain barrier and cerebral perfusion, which were attributed to the functional rescue of pericytes secondary to elevation of platelet-derived growth factor receptor β (PDGFRβ) expression by thalidomide. Our data thus demonstrate the therapeutic potential of thalidomide for the treatment of radiation-induced cerebral vasculature impairment.",Science translational medicine
On the road to epigenetic therapy.,"In this issue of the Biomedical Journal, we examine how far the explosion of epigenetic studies in recent years has translated to benefits for patients in the clinic, and we highlight an original study suggesting that increased vegetable intake protects against osteoporotic fractures. We also hear several opinions on the use, or perhaps misuse, of Impact Factor and what the future should hold for this publication metric.",Biomedical journal
HIF-1α/JMJD1A signaling regulates inflammation and oxidative stress following hyperglycemia and hypoxia-induced vascular cell injury.,"Endothelial cell (EC) injury accelerates the progression of diabetic macrovascular complications. Hypoxia is an important cause of EC injury. Hypoxia-inducible factor-1 alpha (HIF-1α) is an important hypoxia regulatory protein. Our previous studies showed that high-glucose and hypoxic conditions could upregulate HIF-1α expression and enhance EC inflammatory injury, independently of the nuclear factor kappa-B (NF-κB) pathway. However, it is not clear whether HIF-1α plays a role in vascular disease through epigenetic-related mechanisms.",Cellular & molecular biology letters
