Title,Abstract,Journal,Processed_Abstract
Epigenetics in radiation-induced fibrosis.,"Radiotherapy is a major cancer treatment option but dose-limiting side effects such as late-onset fibrosis in the irradiated tissue severely impair quality of life in cancer survivors. Efforts to explain radiation-induced fibrosis, for example, by genetic variation remained largely inconclusive. Recently published molecular analyses on radiation response and fibrogenesis showed a prominent role of epigenetic gene regulation. This review summarizes the current knowledge on epigenetic modifications in fibrotic disease and radiation response, and it points out the important role for epigenetic mechanisms such as DNA methylation, microRNAs and histone modifications in the development of this disease. The synopsis illustrates the complexity of radiation-induced fibrosis and reveals the need for investigations to further unravel its molecular mechanisms. Importantly, epigenetic changes are long-term determinants of gene expression and can therefore support those mechanisms that induce and perpetuate fibrogenesis even in the absence of the initial damaging stimulus. Future work must comprise the interconnection of acute radiation response and long-lasting epigenetic effects in order to assess their role in late-onset radiation fibrosis. An improved understanding of the underlying biology is fundamental to better comprehend the origin of this disease and to improve both preventive and therapeutic strategies.",Oncogene,"['radiotherapy', 'major', 'cancer', 'treatment', 'option', 'dose', 'limit', 'side', 'effect', 'late', 'onset', 'fibrosis', 'irradiate', 'tissue', 'severely', 'impair', 'quality', 'life', 'cancer', 'survivor', 'effort', 'explain', 'radiation', 'induce', 'fibrosis', 'example', 'genetic', 'variation', 'remain', 'largely', 'inconclusive', 'recently', 'publish', 'molecular', 'analysis', 'radiation', 'response', 'fibrogenesis', 'show', 'prominent', 'role', 'epigenetic', 'gene', 'regulation', 'review', 'summarize', 'current', 'knowledge', 'epigenetic', 'modification', 'fibrotic', 'disease', 'radiation', 'response', 'point', 'important', 'role', 'epigenetic', 'mechanism', 'dna', 'methylation', 'microrna', 'histone', 'modification', 'development', 'disease', 'synopsis', 'illustrate', 'complexity', 'radiation', 'induce', 'fibrosis', 'reveal', 'need', 'investigation', 'unravel', 'molecular', 'mechanism', 'importantly', 'epigenetic', 'change', 'long', 'term', 'determinant', 'gene', 'expression', 'therefore', 'support', 'mechanism', 'induce', 'perpetuate', 'fibrogenesis', 'even', 'absence', 'initial', 'damaging', 'stimulus', 'future', 'work', 'must', 'comprise', 'interconnection', 'acute', 'radiation', 'response', 'long', 'lasting', 'epigenetic', 'effect', 'order', 'assess', 'role', 'late', 'onset', 'radiation', 'fibrosis', 'improve', 'understand', 'underlie', 'biology', 'fundamental', 'well', 'comprehend', 'origin', 'disease', 'improve', 'preventive', 'therapeutic', 'strategy']"
Major trauma and acceleration of the ageing process.,"It is well established that numerous factors can affect the rate at which we age biologically. Diet, physical activity, lifestyle and our genes all play a major role in influencing the ageing trajectory and longevity. Major trauma affects millions globally, is the major cause of death in young adults and could influence ageing processes but has largely been ignored by biogenterologists. The long-term health consequences of physical trauma are well known in the medical community, how trauma effects the ageing process at a molecular level is not. It has long been difficult to assess ageing trajectories due to the absence of a biomarker of biological rather than chronological age. Recent advances in epigenetics have helped by identifying specific DNA methylation sites as good indicators of biological age. Recent investigations into the impact of psychological trauma and the associated physical stress on accelerating ageing as measured by epigenetic drift are promising. The physical and metabolic stress which is synonymous with physical trauma may also accelerate the ageing process. We suggest that long term epigenetic profiling is required to understand to what degree the ageing trajectory is altered by trauma, which will in turn add support for the development of novel therapies to improve health outcomes for survivors of traumatic injury.",Ageing research reviews,"['well', 'establish', 'numerous', 'factor', 'affect', 'rate', 'age', 'biologically', 'diet', 'physical', 'activity', 'lifestyle', 'gene', 'play', 'major', 'role', 'influence', 'age', 'trajectory', 'longevity', 'major', 'trauma', 'affect', 'million', 'globally', 'major', 'cause', 'death', 'young', 'adult', 'could', 'influence', 'age', 'process', 'largely', 'ignore', 'biogenterologist', 'long', 'term', 'health', 'consequence', 'physical', 'trauma', 'well', 'know', 'medical', 'community', 'trauma', 'effect', 'ageing', 'process', 'molecular', 'level', 'long', 'difficult', 'assess', 'age', 'trajectory', 'due', 'absence', 'biomarker', 'biological', 'rather', 'chronological', 'age', 'recent', 'advance', 'epigenetic', 'help', 'identify', 'specific', 'dna', 'methylation', 'site', 'good', 'indicator', 'biological', 'age', 'recent', 'investigation', 'impact', 'psychological', 'trauma', 'associate', 'physical', 'stress', 'accelerate', 'age', 'measure', 'epigenetic', 'drift', 'promise', 'physical', 'metabolic', 'stress', 'synonymous', 'physical', 'trauma', 'may', 'also', 'accelerate', 'age', 'process', 'suggest', 'long', 'term', 'epigenetic', 'profiling', 'require', 'understand', 'degree', 'age', 'trajectory', 'alter', 'trauma', 'turn', 'add', 'support', 'development', 'novel', 'therapy', 'improve', 'health', 'outcome', 'survivor', 'traumatic', 'injury']"
A nerve injury-specific long noncoding RNA promotes neuropathic pain by increasing Ccl2 expression.,"Maladaptive changes of nerve injury-associated genes in dorsal root ganglia (DRGs) are critical for neuropathic pain genesis. Emerging evidence supports the role of long noncoding RNAs (lncRNAs) in regulating gene transcription. Here we identified a conserved lncRNA, named nerve injury-specific lncRNA (NIS-lncRNA) for its upregulation in injured DRGs exclusively in response to nerve injury. This upregulation was triggered by nerve injury-induced increase in DRG ELF1, a transcription factor that bound to the NIS-lncRNA promoter. Blocking this upregulation attenuated nerve injury-induced CCL2 increase in injured DRGs and nociceptive hypersensitivity during the development and maintenance periods of neuropathic pain. Mimicking NIS-lncRNA upregulation elevated CCL2 expression, increased CCL2-mediated excitability in DRG neurons, and produced neuropathic pain symptoms. Mechanistically, NIS-lncRNA recruited more binding of the RNA-interacting protein FUS to the Ccl2 promoter and augmented Ccl2 transcription in injured DRGs. Thus, NIS-lncRNA participates in neuropathic pain likely by promoting FUS-triggered DRG Ccl2 expression and may be a potential target in neuropathic pain management.",The Journal of clinical investigation,"['maladaptive', 'change', 'nerve', 'injury', 'associate', 'gene', 'dorsal', 'root', 'ganglia', 'drgs', 'critical', 'neuropathic', 'pain', 'genesis', 'emerge', 'evidence', 'support', 'role', 'long', 'noncoding', 'rnas', 'lncrnas', 'regulate', 'gene', 'transcription', 'identify', 'conserve', 'lncrna', 'name', 'nerve', 'injury', 'specific', 'lncrna', 'nis', 'lncrna', 'upregulation', 'injure', 'drg', 'exclusively', 'response', 'nerve', 'injury', 'upregulation', 'trigger', 'nerve', 'injury', 'induce', 'increase', 'drg', 'elf1', 'transcription', 'factor', 'bind', 'nis', 'lncrna', 'promoter', 'block', 'upregulation', 'attenuate', 'nerve', 'injury', 'induce', 'ccl2', 'increase', 'injure', 'drg', 'nociceptive', 'hypersensitivity', 'development', 'maintenance', 'period', 'neuropathic', 'pain', 'mimic', 'nis', 'lncrna', 'upregulation', 'elevated', 'ccl2', 'expression', 'increase', 'ccl2', 'mediate', 'excitability', 'drg', 'neuron', 'produce', 'neuropathic', 'pain', 'symptom', 'mechanistically', 'nis', 'lncrna', 'recruit', 'bind', 'rna', 'interact', 'protein', 'fus', 'ccl2', 'promoter', 'augment', 'ccl2', 'transcription', 'injure', 'drg', 'thus', 'nis', 'lncrna', 'participate', 'neuropathic', 'pain', 'likely', 'promote', 'fus', 'trigger', 'drg', 'ccl2', 'expression', 'may', 'potential', 'target', 'neuropathic', 'pain', 'management']"
Molecular Mechanisms of Neuroprotection by Ketone Bodies and Ketogenic Diet in Cerebral Ischemia and Neurodegenerative Diseases.,"Ketone bodies (KBs), such as acetoacetate and β-hydroxybutyrate, serve as crucial alternative energy sources during glucose deficiency. KBs, generated through ketogenesis in the liver, are metabolized into acetyl-CoA in extrahepatic tissues, entering the tricarboxylic acid cycle and electron transport chain for ATP production. Reduced glucose metabolism and mitochondrial dysfunction correlate with increased neuronal death and brain damage during cerebral ischemia and neurodegeneration. Both KBs and the ketogenic diet (KD) demonstrate neuroprotective effects by orchestrating various cellular processes through metabolic and signaling functions. They enhance mitochondrial function, mitigate oxidative stress and apoptosis, and regulate epigenetic and post-translational modifications of histones and non-histone proteins. Additionally, KBs and KD contribute to reducing neuroinflammation and modulating autophagy, neurotransmission systems, and gut microbiome. This review aims to explore the current understanding of the molecular mechanisms underpinning the neuroprotective effects of KBs and KD against brain damage in cerebral ischemia and neurodegenerative diseases, including Alzheimer's disease and Parkinson's disease.",International journal of molecular sciences,"['ketone', 'body', 'kb', 'acetoacetate', 'β', 'hydroxybutyrate', 'serve', 'crucial', 'alternative', 'energy', 'source', 'glucose', 'deficiency', 'kbs', 'generate', 'ketogenesis', 'liver', 'metabolize', 'acetyl', 'coa', 'extrahepatic', 'tissue', 'enter', 'tricarboxylic', 'acid', 'cycle', 'electron', 'transport', 'chain', 'atp', 'production', 'reduce', 'glucose', 'metabolism', 'mitochondrial', 'dysfunction', 'correlate', 'increase', 'neuronal', 'death', 'brain', 'damage', 'cerebral', 'ischemia', 'neurodegeneration', 'kbs', 'ketogenic', 'diet', 'kd', 'demonstrate', 'neuroprotective', 'effect', 'orchestrate', 'various', 'cellular', 'process', 'metabolic', 'signal', 'function', 'enhance', 'mitochondrial', 'function', 'mitigate', 'oxidative', 'stress', 'apoptosis', 'regulate', 'epigenetic', 'post', 'translational', 'modification', 'histone', 'non', 'histone', 'protein', 'additionally', 'kbs', 'kd', 'contribute', 'reduce', 'neuroinflammation', 'modulate', 'autophagy', 'neurotransmission', 'system', 'gut', 'microbiome', 'review', 'aim', 'explore', 'current', 'understanding', 'molecular', 'mechanism', 'underpin', 'neuroprotective', 'effect', 'kbs', 'kd', 'brain', 'damage', 'cerebral', 'ischemia', 'neurodegenerative', 'disease', 'include', 'alzheimer', 'disease', 'parkinson', 'disease']"
Borderline personality - from psychoanalysis to epigenetics. Biological basis of attachment.,"In terms of object relations theory, borderline personality disorder (BPD) is characterized by a structural abnormality of identity, conflicting representations of self and others, and disorganization of attachment - a construct rooted in an individual's early experiences and central to the relationships established later in life. A special role in the formation of attachment style is attributed to the relationship with the caregiver and to difficult experiences or traumas from early developmental stages. These experiences not only provide the psychological basis for the development of an insecure attachment style, but also leave a biological mark in the body in the form of epigenetic modifications. Although research on epigenetic modifications in BPD is scarce, a growing body of evidence supports the importance of oxytocin - the ""social peptide"" underlying attachment - in the etiology of BPD. We believe that the study of epigenetic modifications that affect the action of oxytocin in the BPD clinical population will provide a better understanding of the basis and process of development of the disorder, as well as provide a therapeutic direction to work effectively in the major areas of BPD.",Psychiatria polska,"['term', 'object', 'relation', 'theory', 'borderline', 'personality', 'disorder', 'bpd', 'characterize', 'structural', 'abnormality', 'identity', 'conflict', 'representation', 'self', 'other', 'disorganization', 'attachment', 'construct', 'root', 'individual', 'early', 'experience', 'central', 'relationship', 'establish', 'later', 'life', 'special', 'role', 'formation', 'attachment', 'style', 'attribute', 'relationship', 'caregiver', 'difficult', 'experience', 'trauma', 'early', 'developmental', 'stage', 'experience', 'provide', 'psychological', 'basis', 'development', 'insecure', 'attachment', 'style', 'also', 'leave', 'biological', 'mark', 'body', 'form', 'epigenetic', 'modification', 'although', 'research', 'epigenetic', 'modification', 'bpd', 'scarce', 'grow', 'body', 'evidence', 'support', 'importance', 'oxytocin', 'social', 'peptide', 'underlie', 'attachment', 'etiology', 'bpd', 'believe', 'study', 'epigenetic', 'modification', 'affect', 'action', 'oxytocin', 'bpd', 'clinical', 'population', 'provide', 'well', 'understand', 'basis', 'process', 'development', 'disorder', 'well', 'provide', 'therapeutic', 'direction', 'work', 'effectively', 'major', 'area', 'bpd']"
Recent Genetics and Epigenetics Approaches to PTSD.,"Following a life-threatening traumatic exposure, about 10% of those exposed are at considerable risk for developing posttraumatic stress disorder (PTSD), a severe and disabling syndrome characterized by uncontrollable intrusive memories, nightmares, avoidance behaviors, and hyperarousal in addition to impaired cognition and negative emotion symptoms. This review will explore recent genetic and epigenetic approaches to PTSD that explain some of the differential risk following trauma exposure.",Current psychiatry reports,"['follow', 'life', 'threaten', 'traumatic', 'exposure', '10', 'expose', 'considerable', 'risk', 'develop', 'posttraumatic', 'stress', 'disorder', 'ptsd', 'severe', 'disable', 'syndrome', 'characterize', 'uncontrollable', 'intrusive', 'memory', 'nightmare', 'avoidance', 'behavior', 'hyperarousal', 'addition', 'impair', 'cognition', 'negative', 'emotion', 'symptom', 'review', 'explore', 'recent', 'genetic', 'epigenetic', 'approach', 'ptsd', 'explain', 'differential', 'risk', 'follow', 'trauma', 'exposure']"
Single-cell and spatial atlases of spinal cord injury in the Tabulae Paralytica.,"Here, we introduce the Tabulae Paralytica-a compilation of four atlases of spinal cord injury (SCI) comprising a single-nucleus transcriptome atlas of half a million cells, a multiome atlas pairing transcriptomic and epigenomic measurements within the same nuclei, and two spatial transcriptomic atlases of the injured spinal cord spanning four spatial and temporal dimensions. We integrated these atlases into a common framework to dissect the molecular logic that governs the responses to injury within the spinal cord<sup>1</sup>. The Tabulae Paralytica uncovered new biological principles that dictate the consequences of SCI, including conserved and divergent neuronal responses to injury; the priming of specific neuronal subpopulations to upregulate circuit-reorganizing programs after injury; an inverse relationship between neuronal stress responses and the activation of circuit reorganization programs; the necessity of re-establishing a tripartite neuroprotective barrier between immune-privileged and extra-neural environments after SCI and a failure to form this barrier in old mice. We leveraged the Tabulae Paralytica to develop a rejuvenative gene therapy that re-established this tripartite barrier, and restored the natural recovery of walking after paralysis in old mice. The Tabulae Paralytica provides a window into the pathobiology of SCI, while establishing a framework for integrating multimodal, genome-scale measurements in four dimensions to study biology and medicine.",Nature,"['introduce', 'tabulae', 'paralytica', 'compilation', 'four', 'atlase', 'spinal', 'cord', 'injury', 'sci', 'comprise', 'single', 'nucleus', 'transcriptome', 'atlas', 'half', 'million', 'cell', 'multiome', 'atlas', 'pair', 'transcriptomic', 'epigenomic', 'measurement', 'within', 'nuclei', 'two', 'spatial', 'transcriptomic', 'atlas', 'injure', 'spinal', 'cord', 'span', 'four', 'spatial', 'temporal', 'dimension', 'integrate', 'atlase', 'common', 'framework', 'dissect', 'molecular', 'logic', 'govern', 'response', 'injury', 'within', 'spinal', 'cord', 'sup', '1', 'sup', 'tabulae', 'paralytica', 'uncover', 'new', 'biological', 'principle', 'dictate', 'consequence', 'sci', 'include', 'conserve', 'divergent', 'neuronal', 'response', 'injury', 'prime', 'specific', 'neuronal', 'subpopulation', 'upregulate', 'circuit', 'reorganizing', 'program', 'injury', 'inverse', 'relationship', 'neuronal', 'stress', 'response', 'activation', 'circuit', 'reorganization', 'program', 'necessity', 'establish', 'tripartite', 'neuroprotective', 'barrier', 'immune', 'privilege', 'extra', 'neural', 'environment', 'sci', 'failure', 'form', 'barrier', 'old', 'mouse', 'leverage', 'tabulae', 'paralytica', 'develop', 'rejuvenative', 'gene', 'therapy', 'establish', 'tripartite', 'barrier', 'restore', 'natural', 'recovery', 'walk', 'paralysis', 'old', 'mouse', 'tabulae', 'paralytica', 'provide', 'window', 'pathobiology', 'sci', 'establish', 'framework', 'integrate', 'multimodal', 'genome', 'scale', 'measurement', 'four', 'dimension', 'study', 'biology', 'medicine']"
Spinal cord repair is modulated by the neurogenic factor Hb-egf under direction of a regeneration-associated enhancer.,"Unlike adult mammals, zebrafish regenerate spinal cord tissue and recover locomotor ability after a paralyzing injury. Here, we find that ependymal cells in zebrafish spinal cords produce the neurogenic factor Hb-egfa upon transection injury. Animals with hb-egfa mutations display defective swim capacity, axon crossing, and tissue bridging after spinal cord transection, associated with disrupted indicators of neuron production. Local recombinant human HB-EGF delivery alters ependymal cell cycling and tissue bridging, enhancing functional regeneration. Epigenetic profiling reveals a tissue regeneration enhancer element (TREE) linked to hb-egfa that directs gene expression in spinal cord injuries. Systemically delivered recombinant AAVs containing this zebrafish TREE target gene expression to crush injuries of neonatal, but not adult, murine spinal cords. Moreover, enhancer-based HB-EGF delivery by AAV administration improves axon densities after crush injury in neonatal cords. Our results identify Hb-egf as a neurogenic factor necessary for innate spinal cord regeneration and suggest strategies to improve spinal cord repair in mammals.",Nature communications,"['unlike', 'adult', 'mammal', 'zebrafish', 'regenerate', 'spinal', 'cord', 'tissue', 'recover', 'locomotor', 'ability', 'paralyze', 'injury', 'find', 'ependymal', 'cell', 'zebrafish', 'spinal', 'cord', 'produce', 'neurogenic', 'factor', 'hb', 'egfa', 'upon', 'transection', 'injury', 'animal', 'hb', 'egfa', 'mutation', 'display', 'defective', 'swim', 'capacity', 'axon', 'cross', 'tissue', 'bridge', 'spinal', 'cord', 'transection', 'associate', 'disrupt', 'indicator', 'neuron', 'production', 'local', 'recombinant', 'human', 'hb', 'egf', 'delivery', 'alter', 'ependymal', 'cell', 'cycling', 'tissue', 'bridging', 'enhance', 'functional', 'regeneration', 'epigenetic', 'profiling', 'reveal', 'tissue', 'regeneration', 'enhancer', 'element', 'tree', 'link', 'hb', 'egfa', 'direct', 'gene', 'expression', 'spinal', 'cord', 'injury', 'systemically', 'deliver', 'recombinant', 'aavs', 'contain', 'zebrafish', 'tree', 'target', 'gene', 'expression', 'crush', 'injury', 'neonatal', 'adult', 'murine', 'spinal', 'cord', 'moreover', 'enhancer', 'base', 'hb', 'egf', 'delivery', 'aav', 'administration', 'improve', 'axon', 'density', 'crush', 'injury', 'neonatal', 'cord', 'result', 'identify', 'hb', 'egf', 'neurogenic', 'factor', 'necessary', 'innate', 'spinal', 'cord', 'regeneration', 'suggest', 'strategy', 'improve', 'spinal', 'cord', 'repair', 'mammal']"
A phase 2 study of thalidomide for the treatment of radiation-induced blood-brain barrier injury.,"Radiation-induced brain injury (RIBI) is a debilitating sequela after radiotherapy to treat head and neck cancer, and 20 to 30% of patients with RIBI fail to respond to or have contraindications to the first-line treatments of bevacizumab and corticosteroids. Here, we reported a Simon's minmax two-stage, single-arm, phase 2 clinical trial (NCT03208413) to assess the efficacy of thalidomide in patients with RIBI who were unresponsive to or had contraindications to bevacizumab and corticosteroid therapies. The trial met its primary endpoint, with 27 of 58 patients enrolled showing ≥25% reduction in the volume of cerebral edema on fluid-attenuated inversion recovery-magnetic resonance imaging (FLAIR-MRI) after treatment (overall response rate, 46.6%; 95% CI, 33.3 to 60.1%). Twenty-five (43.1%) patients demonstrated a clinical improvement based on the Late Effects Normal Tissues-Subjective, Objective, Management, Analytic (LENT/SOMA) scale, and 36 (62.1%) experienced cognitive improvement based on the Montreal Cognitive Assessment (MoCA) scores. In a mouse model of RIBI, thalidomide restored the blood-brain barrier and cerebral perfusion, which were attributed to the functional rescue of pericytes secondary to elevation of platelet-derived growth factor receptor β (PDGFRβ) expression by thalidomide. Our data thus demonstrate the therapeutic potential of thalidomide for the treatment of radiation-induced cerebral vasculature impairment.",Science translational medicine,"['radiation', 'induce', 'brain', 'injury', 'ribi', 'debilitate', 'sequela', 'radiotherapy', 'treat', 'head', 'neck', 'cancer', '20', '30', 'patient', 'ribi', 'fail', 'respond', 'contraindication', 'first', 'line', 'treatment', 'bevacizumab', 'corticosteroid', 'report', 'simon', 'minmax', 'two', 'stage', 'single', 'arm', 'phase', '2', 'clinical', 'trial', 'nct03208413', 'assess', 'efficacy', 'thalidomide', 'patient', 'ribi', 'unresponsive', 'contraindication', 'bevacizumab', 'corticosteroid', 'therapy', 'trial', 'meet', 'primary', 'endpoint', '27', '58', 'patient', 'enrol', 'show', '25', 'reduction', 'volume', 'cerebral', 'edema', 'fluid', 'attenuate', 'inversion', 'recovery', 'magnetic', 'resonance', 'imaging', 'flair', 'mri', 'treatment', 'overall', 'response', 'rate', '46', '6', '95', 'ci', '33', '3', '60', '1', 'twenty', 'five', '43', '1', 'patient', 'demonstrate', 'clinical', 'improvement', 'base', 'late', 'effect', 'normal', 'tissue', 'subjective', 'objective', 'management', 'analytic', 'lent', 'soma', 'scale', '36', '62', '1', 'experienced', 'cognitive', 'improvement', 'base', 'montreal', 'cognitive', 'assessment', 'moca', 'scores', 'mouse', 'model', 'ribi', 'thalidomide', 'restore', 'blood', 'brain', 'barrier', 'cerebral', 'perfusion', 'attribute', 'functional', 'rescue', 'pericyte', 'secondary', 'elevation', 'platelet', 'derive', 'growth', 'factor', 'receptor', 'β', 'pdgfrβ', 'expression', 'thalidomide', 'datum', 'thus', 'demonstrate', 'therapeutic', 'potential', 'thalidomide', 'treatment', 'radiation', 'induce', 'cerebral', 'vasculature', 'impairment']"
On the road to epigenetic therapy.,"In this issue of the Biomedical Journal, we examine how far the explosion of epigenetic studies in recent years has translated to benefits for patients in the clinic, and we highlight an original study suggesting that increased vegetable intake protects against osteoporotic fractures. We also hear several opinions on the use, or perhaps misuse, of Impact Factor and what the future should hold for this publication metric.",Biomedical journal,"['issue', 'biomedical', 'journal', 'examine', 'far', 'explosion', 'epigenetic', 'study', 'recent', 'year', 'translate', 'benefit', 'patient', 'clinic', 'highlight', 'original', 'study', 'suggest', 'increase', 'vegetable', 'intake', 'protect', 'osteoporotic', 'fracture', 'also', 'hear', 'several', 'opinion', 'use', 'perhaps', 'misuse', 'impact', 'factor', 'future', 'hold', 'publication', 'metric']"
HIF-1α/JMJD1A signaling regulates inflammation and oxidative stress following hyperglycemia and hypoxia-induced vascular cell injury.,"Endothelial cell (EC) injury accelerates the progression of diabetic macrovascular complications. Hypoxia is an important cause of EC injury. Hypoxia-inducible factor-1 alpha (HIF-1α) is an important hypoxia regulatory protein. Our previous studies showed that high-glucose and hypoxic conditions could upregulate HIF-1α expression and enhance EC inflammatory injury, independently of the nuclear factor kappa-B (NF-κB) pathway. However, it is not clear whether HIF-1α plays a role in vascular disease through epigenetic-related mechanisms.",Cellular & molecular biology letters,"['endothelial', 'cell', 'ec', 'injury', 'accelerate', 'progression', 'diabetic', 'macrovascular', 'complication', 'hypoxia', 'important', 'cause', 'ec', 'injury', 'hypoxia', 'inducible', 'factor', '1', 'alpha', 'hif', '1α', 'important', 'hypoxia', 'regulatory', 'protein', 'previous', 'study', 'show', 'high', 'glucose', 'hypoxic', 'condition', 'could', 'upregulate', 'hif', '1α', 'expression', 'enhance', 'ec', 'inflammatory', 'injury', 'independently', 'nuclear', 'factor', 'kappa', 'b', 'nf', 'κb', 'pathway', 'however', 'clear', 'whether', 'hif', '1α', 'play', 'role', 'vascular', 'disease', 'epigenetic', 'relate', 'mechanism']"
Histone methyltransferase Ezh2 coordinates mammalian axon regeneration via regulation of key regenerative pathways.,"Current treatments for neurodegenerative diseases and neural injuries face major challenges, primarily due to the diminished regenerative capacity of neurons in the mammalian CNS as they mature. Here, we investigated the role of Ezh2, a histone methyltransferase, in regulating mammalian axon regeneration. We found that Ezh2 declined in the mouse nervous system during maturation but was upregulated in adult dorsal root ganglion neurons following peripheral nerve injury to facilitate spontaneous axon regeneration. In addition, overexpression of Ezh2 in retinal ganglion cells in the CNS promoted optic nerve regeneration via both histone methylation-dependent and -independent mechanisms. Further investigation revealed that Ezh2 fostered axon regeneration by orchestrating the transcriptional silencing of genes governing synaptic function and those inhibiting axon regeneration, while concurrently activating various factors that support axon regeneration. Notably, we demonstrated that GABA transporter 2, encoded by Slc6a13, acted downstream of Ezh2 to control axon regeneration. Overall, our study underscores the potential of modulating chromatin accessibility as a promising strategy for promoting CNS axon regeneration.",The Journal of clinical investigation,"['current', 'treatment', 'neurodegenerative', 'disease', 'neural', 'injury', 'face', 'major', 'challenge', 'primarily', 'due', 'diminish', 'regenerative', 'capacity', 'neuron', 'mammalian', 'cns', 'mature', 'investigate', 'role', 'ezh2', 'histone', 'methyltransferase', 'regulate', 'mammalian', 'axon', 'regeneration', 'find', 'ezh2', 'decline', 'mouse', 'nervous', 'system', 'maturation', 'upregulate', 'adult', 'dorsal', 'root', 'ganglion', 'neuron', 'follow', 'peripheral', 'nerve', 'injury', 'facilitate', 'spontaneous', 'axon', 'regeneration', 'addition', 'overexpression', 'ezh2', 'retinal', 'ganglion', 'cell', 'cns', 'promote', 'optic', 'nerve', 'regeneration', 'via', 'histone', 'methylation', 'dependent', 'independent', 'mechanism', 'investigation', 'reveal', 'ezh2', 'foster', 'axon', 'regeneration', 'orchestrate', 'transcriptional', 'silence', 'gene', 'govern', 'synaptic', 'function', 'inhibit', 'axon', 'regeneration', 'concurrently', 'activate', 'various', 'factor', 'support', 'axon', 'regeneration', 'notably', 'demonstrate', 'gaba', 'transporter', '2', 'encode', 'slc6a13', 'act', 'downstream', 'ezh2', 'control', 'axon', 'regeneration', 'overall', 'study', 'underscore', 'potential', 'modulate', 'chromatin', 'accessibility', 'promise', 'strategy', 'promote', 'cns', 'axon', 'regeneration']"
"Precision medicine in trauma: a transformational frontier in patient care, education, and research.","Trauma is the leading cause of death before the age of 45 in the United States. Precision medicine (PM) is the most advanced scientific form of medical practice and seeks to gather data from the genome, environmental interactions, and lifestyles. Relating to trauma, PM promises to significantly advance our understanding of the factors that contribute to the physiologic response to injury.",European journal of trauma and emergency surgery : official publication of the European Trauma Society,"['trauma', 'leading', 'cause', 'death', 'age', '45', 'united', 'states', 'precision', 'medicine', 'pm', 'advance', 'scientific', 'form', 'medical', 'practice', 'seek', 'gather', 'data', 'genome', 'environmental', 'interaction', 'lifestyle', 'relate', 'trauma', 'pm', 'promise', 'significantly', 'advance', 'understand', 'factor', 'contribute', 'physiologic', 'response', 'injury']"
Epigenetic Alterations Associated with War Trauma and Childhood Maltreatment.,"Survivors of war trauma or childhood maltreatment are at increased risk for trauma-spectrum disorders such as post-traumatic stress disorder (PTSD). In addition, traumatic stress has been associated with alterations in the neuroendocrine and the immune system, enhancing the risk for physical diseases. Traumatic experiences might even affect psychological as well as biological parameters in the next generation, i.e. traumatic stress might have transgenerational effects. This article outlines how epigenetic processes, which represent a pivotal biological mechanism for dynamic adaptation to environmental challenges, might contribute to the explanation of the long-lasting and transgenerational effects of trauma. In particular, epigenetic alterations in genes regulating the hypothalamus-pituitary-adrenal axis as well as the immune system have been observed in survivors of childhood and adult trauma. These changes could result in enduring alterations of the stress response as well as the physical health risk. Furthermore, the effects of parental trauma could be transmitted to the next generation by parental distress and the pre- and postnatal environment, as well as by epigenetic marks transmitted via the germline. While epigenetic research has a high potential of advancing our understanding of the consequences of trauma, the findings have to be interpreted with caution, as epigenetics only represent one piece of a complex puzzle of interacting biological and environmental factors. Copyright © 2015 John Wiley & Sons, Ltd.",Behavioral sciences & the law,"['survivor', 'war', 'trauma', 'childhood', 'maltreatment', 'increase', 'risk', 'trauma', 'spectrum', 'disorder', 'post', 'traumatic', 'stress', 'disorder', 'ptsd', 'addition', 'traumatic', 'stress', 'associate', 'alteration', 'neuroendocrine', 'immune', 'system', 'enhance', 'risk', 'physical', 'disease', 'traumatic', 'experience', 'might', 'even', 'affect', 'psychological', 'well', 'biological', 'parameter', 'next', 'generation', 'e', 'traumatic', 'stress', 'might', 'transgenerational', 'effect', 'article', 'outline', 'epigenetic', 'process', 'represent', 'pivotal', 'biological', 'mechanism', 'dynamic', 'adaptation', 'environmental', 'challenge', 'might', 'contribute', 'explanation', 'long', 'last', 'transgenerational', 'effect', 'trauma', 'particular', 'epigenetic', 'alteration', 'gene', 'regulate', 'hypothalamus', 'pituitary', 'adrenal', 'axis', 'well', 'immune', 'system', 'observe', 'survivor', 'childhood', 'adult', 'trauma', 'change', 'could', 'result', 'endure', 'alteration', 'stress', 'response', 'well', 'physical', 'health', 'risk', 'furthermore', 'effect', 'parental', 'trauma', 'could', 'transmit', 'next', 'generation', 'parental', 'distress', 'pre', 'postnatal', 'environment', 'well', 'epigenetic', 'mark', 'transmit', 'via', 'germline', 'epigenetic', 'research', 'high', 'potential', 'advance', 'understanding', 'consequence', 'trauma', 'finding', 'interpret', 'caution', 'epigenetic', 'represent', 'one', 'piece', 'complex', 'puzzle', 'interact', 'biological', 'environmental', 'factor', 'copyright', '2015', 'john', 'wiley', 'sons', 'ltd']"
